N,p,n,k,lam,ratio_rob,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
10,0.01886508005882168,3,2,3.570789208004694,0.2638540521685199,0.0002,0.2638,0.736,1.0,0.983544921875,0.50154296875
10,0.032166029854033475,3,2,2.6538769013780743,0.4738114276968534,0.0008,0.4734,0.5258,1.15,1.0,0.4025
10,0.03333330166639878,3,2,3.2949829336503234,0.3358288044681657,0.0043,0.3344,0.6613,1.175,1.0,0.6975
10,0.03413170335498551,3,0,0.17505108632306368,0.28037941690029233,0.0037,0.2793,0.717,1.05,0.8009472656250001,0.566632080078125
10,0.001519602223002107,3,2,2.3215650662077154,0.9339951887854304,0.0037,0.9305,0.0658,1.025,0.926748046875,0.5981298828125
10,0.012361023958953162,3,1,2.395947519345309,0.46447248973902894,0.0014,0.4638,0.5348,2.65,0.965185546875,0.428955078125
10,0.029598123717586095,3,2,1.169002541207555,0.13207518616448163,0.001,0.1319,0.8671,1.4,0.999443359375,0.595068359375
10,0.011381168409845776,3,1,0.6886286184476997,0.9614089380491839,0.0005,0.9609,0.03860000000000011,1.0,0.8785058593749999,0.665577392578125
10,0.045413992753359965,3,0,0.5185169890330109,0.9805269471339654,0.0003,0.9803,0.01940000000000001,1.125,0.9763085937500001,0.4794046823601974
10,0.03624918507270697,3,0,0.55918363354479,0.1615737165177872,0.0012,0.1614,0.8374,1.45,0.5217333984374999,0.5558325280676355
10,0.0435244483574441,3,1,3.925412922928466,0.7974339322949973,0.0032,0.7949,0.2019,1.0,0.9342822265624999,0.46657958984375
10,0.021343170506249773,3,1,0.884639699685627,0.4541189340956078,0.0041,0.4523,0.5436,2.55,0.9563769531249999,0.40966308593750006
10,0.04287271242361372,3,2,1.2471035213545418,0.4023638329392026,0.0045,0.4005,0.595,1.4,0.992783203125,0.7922566731770833
10,0.030338853563455823,3,1,1.7515160360539666,0.5152368664713807,0.0014,0.5145,0.4841000000000001,1.05,0.61337890625,0.5590350341796876
10,0.02290543794571691,3,0,4.009058339547434,0.686572380085498,0.0045,0.6835,0.312,1.075,0.981337890625,0.6645166015624999
10,0.008943364807517137,3,1,1.308624372966639,0.4863566984664478,0.0022,0.4853,0.5125,1.075,0.9689843750000001,0.30686230468750003
10,0.027292984266309203,3,1,4.1859953073358405,0.45061925423152926,0.0026,0.4494,0.548,1.575,0.961630859375,0.43966967773437504
10,0.014953809957827977,3,2,3.2075757229390476,0.08114519241275407,0.003,0.0809,0.9161,1.8,0.8634375000000001,0.4616015625
10,0.04049776822015047,3,0,1.9951029422602007,0.3843125489554621,0.0002,0.3842,0.6156,1.025,0.9925488281250001,0.5541123046875001
10,0.03505320652930233,3,2,0.08200747398310443,0.25381549613245963,0.0038,0.2529,0.7433,1.875,0.812109375,0.44665715144230766
